day,price,petroleum_state,location
1986-06-27,0.4,REFINED,GULF_SHORES
1986-06-27,0.405,REFINED,NY_HARBOR
1986-06-30,12.8,CRUDE,
1986-06-30,0.385,REFINED,GULF_SHORES
1986-06-30,0.399,REFINED,NY_HARBOR
1986-07-01,12.39,CRUDE,
1986-07-01,0.391,REFINED,NY_HARBOR
1986-07-01,0.384,REFINED,GULF_SHORES
1986-07-02,12.04,CRUDE,
1986-07-02,0.377,REFINED,NY_HARBOR
1986-07-02,0.369,REFINED,GULF_SHORES
1986-07-03,11.7,CRUDE,
1986-07-03,0.373,REFINED,NY_HARBOR
1986-07-03,0.366,REFINED,GULF_SHORES
1986-07-07,11.18,CRUDE,
1986-07-07,0.354,REFINED,NY_HARBOR
1986-07-07,0.345,REFINED,GULF_SHORES
1986-07-08,11.19,CRUDE,
1986-07-08,0.349,REFINED,GULF_SHORES
1986-07-08,0.35,REFINED,NY_HARBOR
1986-07-09,11,CRUDE,
1986-07-09,0.341,REFINED,NY_HARBOR
1986-07-09,0.339,REFINED,GULF_SHORES
1986-07-10,11.13,CRUDE,
1986-07-10,0.35,REFINED,NY_HARBOR
1986-07-10,0.345,REFINED,GULF_SHORES
1986-07-11,11.13,CRUDE,
1986-07-11,0.334,REFINED,NY_HARBOR
1986-07-11,0.331,REFINED,GULF_SHORES
1986-07-14,11.23,CRUDE,
1986-07-14,0.319,REFINED,NY_HARBOR
1986-07-14,0.316,REFINED,GULF_SHORES
1986-07-15,11.85,CRUDE,
1986-07-15,0.333,REFINED,GULF_SHORES
1986-07-15,0.338,REFINED,NY_HARBOR
1986-07-16,12.68,CRUDE,
1986-07-16,0.343,REFINED,GULF_SHORES
1986-07-16,0.344,REFINED,NY_HARBOR
1986-07-17,12.3,CRUDE,
1986-07-17,0.331,REFINED,GULF_SHORES
1986-07-17,0.335,REFINED,NY_HARBOR
1986-07-18,12.8,CRUDE,
1986-07-18,0.344,REFINED,NY_HARBOR
1986-07-18,0.335,REFINED,GULF_SHORES
1986-07-21,13.07,CRUDE,
1986-07-21,0.339,REFINED,GULF_SHORES
1986-07-21,0.349,REFINED,NY_HARBOR
1986-07-22,10.88,CRUDE,
1986-07-22,0.325,REFINED,GULF_SHORES
1986-07-22,0.328,REFINED,NY_HARBOR
1986-07-23,10.83,CRUDE,
1986-07-23,0.319,REFINED,GULF_SHORES
1986-07-23,0.335,REFINED,NY_HARBOR
1986-07-24,10.95,CRUDE,
1986-07-24,0.319,REFINED,GULF_SHORES
1986-07-24,0.33,REFINED,NY_HARBOR
1986-07-25,10.83,CRUDE,
1986-07-25,0.31,REFINED,GULF_SHORES
1986-07-25,0.321,REFINED,NY_HARBOR
1986-07-28,11.09,CRUDE,
1986-07-28,0.305,REFINED,GULF_SHORES
1986-07-28,0.308,REFINED,NY_HARBOR
1986-07-29,11.63,CRUDE,
1986-07-29,0.315,REFINED,NY_HARBOR
1986-07-29,0.316,REFINED,GULF_SHORES
1986-07-30,11.73,CRUDE,
1986-07-30,0.329,REFINED,NY_HARBOR
1986-07-30,0.321,REFINED,GULF_SHORES
1986-07-31,11.23,CRUDE,
1986-07-31,0.305,REFINED,GULF_SHORES
1986-07-31,0.309,REFINED,NY_HARBOR
1986-08-01,11.56,CRUDE,
1986-08-01,0.311,REFINED,GULF_SHORES
1986-08-01,0.318,REFINED,NY_HARBOR
1986-08-04,14,CRUDE,
1986-08-04,0.358,REFINED,NY_HARBOR
1986-08-04,0.355,REFINED,GULF_SHORES
1986-08-05,14.35,CRUDE,
1986-08-05,0.39,REFINED,GULF_SHORES
1986-08-05,0.401,REFINED,NY_HARBOR
1986-08-06,14.8,CRUDE,
1986-08-06,0.41,REFINED,NY_HARBOR
1986-08-06,0.396,REFINED,GULF_SHORES
1986-08-07,15.18,CRUDE,
1986-08-07,0.409,REFINED,GULF_SHORES
1986-08-07,0.42,REFINED,NY_HARBOR
1986-08-08,14.83,CRUDE,
1986-08-08,0.401,REFINED,GULF_SHORES
1986-08-08,0.411,REFINED,NY_HARBOR
1986-08-11,14.92,CRUDE,
1986-08-11,0.404,REFINED,GULF_SHORES
1986-08-11,0.413,REFINED,NY_HARBOR
1986-08-12,15.5,CRUDE,
1986-08-12,0.436,REFINED,NY_HARBOR
1986-08-12,0.433,REFINED,GULF_SHORES
1986-08-13,15.28,CRUDE,
1986-08-13,0.441,REFINED,NY_HARBOR
1986-08-13,0.431,REFINED,GULF_SHORES
1986-08-14,15.43,CRUDE,
1986-08-14,0.441,REFINED,NY_HARBOR
1986-08-14,0.43,REFINED,GULF_SHORES
1986-08-15,15.83,CRUDE,
1986-08-15,0.439,REFINED,GULF_SHORES
1986-08-15,0.446,REFINED,NY_HARBOR
1986-08-18,15.58,CRUDE,
1986-08-18,0.45,REFINED,NY_HARBOR
1986-08-18,0.446,REFINED,GULF_SHORES
1986-08-19,14.98,CRUDE,
1986-08-19,0.426,REFINED,GULF_SHORES
1986-08-19,0.436,REFINED,NY_HARBOR
1986-08-20,15.23,CRUDE,
1986-08-20,0.446,REFINED,NY_HARBOR
1986-08-20,0.435,REFINED,GULF_SHORES
1986-08-21,15.23,CRUDE,
1986-08-21,0.438,REFINED,GULF_SHORES
1986-08-21,0.446,REFINED,NY_HARBOR
1986-08-22,15.48,CRUDE,
1986-08-22,0.439,REFINED,GULF_SHORES
1986-08-22,0.443,REFINED,NY_HARBOR
1986-08-25,15.48,CRUDE,
1986-08-25,0.43,REFINED,GULF_SHORES
1986-08-25,0.443,REFINED,NY_HARBOR
1986-08-26,15.78,CRUDE,
1986-08-26,0.448,REFINED,NY_HARBOR
1986-08-26,0.426,REFINED,GULF_SHORES
1986-08-27,15.83,CRUDE,
1986-08-27,0.44,REFINED,NY_HARBOR
1986-08-27,0.426,REFINED,GULF_SHORES
1986-08-28,15.83,CRUDE,
1986-08-28,0.446,REFINED,NY_HARBOR
1986-08-28,0.434,REFINED,GULF_SHORES
1986-08-29,15.93,CRUDE,
1986-08-29,0.439,REFINED,GULF_SHORES
1986-08-29,0.453,REFINED,NY_HARBOR
1986-09-02,16.43,CRUDE,
1986-09-02,0.459,REFINED,NY_HARBOR
1986-09-02,0.444,REFINED,GULF_SHORES
1986-09-03,16.03,CRUDE,
1986-09-03,0.436,REFINED,GULF_SHORES
1986-09-03,0.454,REFINED,NY_HARBOR
1986-09-04,16.18,CRUDE,
1986-09-04,0.457,REFINED,NY_HARBOR
1986-09-04,0.441,REFINED,GULF_SHORES
1986-09-05,15.63,CRUDE,
1986-09-05,0.46,REFINED,NY_HARBOR
1986-09-05,0.444,REFINED,GULF_SHORES
1986-09-08,15.63,CRUDE,
1986-09-08,0.441,REFINED,NY_HARBOR
1986-09-08,0.431,REFINED,GULF_SHORES
1986-09-09,15,CRUDE,
1986-09-09,0.429,REFINED,NY_HARBOR
1986-09-09,0.416,REFINED,GULF_SHORES
1986-09-10,14.9,CRUDE,
1986-09-10,0.417,REFINED,NY_HARBOR
1986-09-10,0.4,REFINED,GULF_SHORES
1986-09-11,15.05,CRUDE,
1986-09-11,0.4,REFINED,GULF_SHORES
1986-09-11,0.419,REFINED,NY_HARBOR
1986-09-12,15.06,CRUDE,
1986-09-12,0.424,REFINED,NY_HARBOR
1986-09-12,0.401,REFINED,GULF_SHORES
1986-09-15,14.31,CRUDE,
1986-09-15,0.413,REFINED,NY_HARBOR
1986-09-15,0.385,REFINED,GULF_SHORES
1986-09-16,13.8,CRUDE,
1986-09-16,0.378,REFINED,GULF_SHORES
1986-09-16,0.398,REFINED,NY_HARBOR
1986-09-17,14.03,CRUDE,
1986-09-17,0.376,REFINED,GULF_SHORES
1986-09-17,0.406,REFINED,NY_HARBOR
1986-09-18,14.55,CRUDE,
1986-09-18,0.412,REFINED,NY_HARBOR
1986-09-18,0.379,REFINED,GULF_SHORES
1986-09-19,14.47,CRUDE,
1986-09-19,0.379,REFINED,GULF_SHORES
1986-09-19,0.412,REFINED,NY_HARBOR
1986-09-22,13.94,CRUDE,
1986-09-22,0.369,REFINED,GULF_SHORES
1986-09-22,0.401,REFINED,NY_HARBOR
1986-09-23,14.3,CRUDE,
1986-09-23,0.376,REFINED,GULF_SHORES
1986-09-23,0.406,REFINED,NY_HARBOR
1986-09-24,14.55,CRUDE,
1986-09-24,0.406,REFINED,NY_HARBOR
1986-09-24,0.378,REFINED,GULF_SHORES
1986-09-25,14.28,CRUDE,
1986-09-25,0.397,REFINED,NY_HARBOR
1986-09-25,0.376,REFINED,GULF_SHORES
1986-09-26,14.43,CRUDE,
1986-09-26,0.381,REFINED,GULF_SHORES
1986-09-26,0.399,REFINED,NY_HARBOR
1986-09-29,14.93,CRUDE,
1986-09-29,0.402,REFINED,NY_HARBOR
1986-09-29,0.385,REFINED,GULF_SHORES
1986-09-30,14.7,CRUDE,
1986-09-30,0.401,REFINED,NY_HARBOR
1986-09-30,0.385,REFINED,GULF_SHORES
1986-10-01,15.23,CRUDE,
1986-10-01,0.416,REFINED,NY_HARBOR
1986-10-01,0.401,REFINED,GULF_SHORES
1986-10-02,15.38,CRUDE,
1986-10-02,0.409,REFINED,GULF_SHORES
1986-10-02,0.426,REFINED,NY_HARBOR
1986-10-03,14.86,CRUDE,
1986-10-03,0.398,REFINED,GULF_SHORES
1986-10-03,0.414,REFINED,NY_HARBOR
1986-10-06,14.83,CRUDE,
1986-10-06,0.408,REFINED,NY_HARBOR
1986-10-06,0.395,REFINED,GULF_SHORES
1986-10-07,15.6,CRUDE,
1986-10-07,0.412,REFINED,GULF_SHORES
1986-10-07,0.423,REFINED,NY_HARBOR
1986-10-08,15.35,CRUDE,
1986-10-08,0.426,REFINED,NY_HARBOR
1986-10-08,0.408,REFINED,GULF_SHORES
1986-10-09,15.05,CRUDE,
1986-10-09,0.421,REFINED,NY_HARBOR
1986-10-09,0.404,REFINED,GULF_SHORES
1986-10-10,14.98,CRUDE,
1986-10-10,0.398,REFINED,GULF_SHORES
1986-10-10,0.416,REFINED,NY_HARBOR
1986-10-14,14.55,CRUDE,
1986-10-14,0.406,REFINED,NY_HARBOR
1986-10-14,0.388,REFINED,GULF_SHORES
1986-10-15,14.83,CRUDE,
1986-10-15,0.4,REFINED,GULF_SHORES
1986-10-15,0.418,REFINED,NY_HARBOR
1986-10-16,14.53,CRUDE,
1986-10-16,0.399,REFINED,GULF_SHORES
1986-10-16,0.411,REFINED,NY_HARBOR
1986-10-17,14.85,CRUDE,
1986-10-17,0.415,REFINED,NY_HARBOR
1986-10-17,0.402,REFINED,GULF_SHORES
1986-10-20,15.17,CRUDE,
1986-10-20,0.411,REFINED,GULF_SHORES
1986-10-20,0.422,REFINED,NY_HARBOR
1986-10-21,15.22,CRUDE,
1986-10-21,0.42,REFINED,NY_HARBOR
1986-10-21,0.408,REFINED,GULF_SHORES
1986-10-22,14.85,CRUDE,
1986-10-22,0.402,REFINED,GULF_SHORES
1986-10-22,0.407,REFINED,NY_HARBOR
1986-10-23,14.88,CRUDE,
1986-10-23,0.399,REFINED,GULF_SHORES
1986-10-23,0.406,REFINED,NY_HARBOR
1986-10-24,14.93,CRUDE,
