2012,4,NAICS CLASSIFICATION: (1112),812268000,4.5
2012,4,NAICS CLASSIFICATION: (111211),106000,96.8
2012,4,NAICS CLASSIFICATION: (111219),812162000,4.5
2012,4,NAICS CLASSIFICATION: (1113),112142000,34.9
2012,4,NAICS CLASSIFICATION: (11131), (D),(D)
2012,4,NAICS CLASSIFICATION: (11132), (D),(D)
2012,4,NAICS CLASSIFICATION: (11133),79515000,42.3
2012,4,NAICS CLASSIFICATION: (111331),2004000,24.3
2012,4,NAICS CLASSIFICATION: (111332), (D),(D)
2012,4,NAICS CLASSIFICATION: (111334),11000,(H)
2012,4,NAICS CLASSIFICATION: (111335),58308000,27.5
2012,4,NAICS CLASSIFICATION: (111336), (D),(D)
2012,4,NAICS CLASSIFICATION: (111339),15283000,90.5
2012,4,NAICS CLASSIFICATION: (1114),320494000,21.1
2012,4,NAICS CLASSIFICATION: (11141), (D),(D)
2012,4,NAICS CLASSIFICATION: (11142), (D),(D)
2012,4,NAICS CLASSIFICATION: (111421),182361000,34.5
2012,4,NAICS CLASSIFICATION: (111422), (D),(D)
2012,4,NAICS CLASSIFICATION: (1119),716471000,38.9
2012,4,NAICS CLASSIFICATION: (11192), (D),(D)
2012,4,NAICS CLASSIFICATION: (11194), (D),(D)
2012,4,NAICS CLASSIFICATION: (11199),187228000,21.8
2012,4,NAICS CLASSIFICATION: (112),4494000,32.9
2012,4,NAICS CLASSIFICATION: (1121),3295000,22.5
2012,4,NAICS CLASSIFICATION: (11211),2462000,30.1
2012,4,NAICS CLASSIFICATION: (112111), (D),(D)
2012,4,NAICS CLASSIFICATION: (112112), (D),(D)
2012,4,NAICS CLASSIFICATION: (11212),832000,0.4
2012,4,NAICS CLASSIFICATION: (1122),1000,58.1
2012,4,NAICS CLASSIFICATION: (1123),23000,(H)
2012,4,NAICS CLASSIFICATION: (11231),7000,(H)
2012,4,NAICS CLASSIFICATION: (11232), (D),(D)
2012,4,NAICS CLASSIFICATION: (11233), (D),(D)
2012,4,NAICS CLASSIFICATION: (11239),9000,(H)
2012,4,NAICS CLASSIFICATION: (1124), (D),(D)
2012,4,NAICS CLASSIFICATION: (11241), (D),(D)
2012,4,NAICS CLASSIFICATION: (11242), (D),(D)
2012,4,NAICS CLASSIFICATION: (1125), (D),(D)
2012,4,NAICS CLASSIFICATION: (1129), (D),(D)
2012,4,NAICS CLASSIFICATION: (11292),109000,60.7
2012,4,NAICS CLASSIFICATION: (11299), (D),(D)
2012,5,NAICS CLASSIFICATION: (111),4799143000,5.6
2012,5,NAICS CLASSIFICATION: (1111),4290901000,5.4
2012,5,NAICS CLASSIFICATION: (11111),1232457000,3.6
2012,5,NAICS CLASSIFICATION: (11114),9213000,28.3
2012,5,NAICS CLASSIFICATION: (11115),348934000,9.5
2012,5,NAICS CLASSIFICATION: (11116),1040132000,1.6
2012,5,NAICS CLASSIFICATION: (11119),1660165000,12.9
2012,5,NAICS CLASSIFICATION: (1112),35424000,38.1
2012,5,NAICS CLASSIFICATION: (111211),10822000,(H)
2012,5,NAICS CLASSIFICATION: (111219),24603000,7.9
2012,5,NAICS CLASSIFICATION: (1113),13018000,19.5
2012,5,NAICS CLASSIFICATION: (11133),13018000,19.5
2012,5,NAICS CLASSIFICATION: (111331),201000,54.2
2012,5,NAICS CLASSIFICATION: (111332),2104000,16.6
2012,5,NAICS CLASSIFICATION: (111333),20000,50.2
2012,5,NAICS CLASSIFICATION: (111334),2549000,30.5
2012,5,NAICS CLASSIFICATION: (111335),6171000,21.9
2012,5,NAICS CLASSIFICATION: (111339),1972000,13.1
2012,5,NAICS CLASSIFICATION: (1114),42338000,6
2012,5,NAICS CLASSIFICATION: (11141), (D),(D)
2012,5,NAICS CLASSIFICATION: (11142), (D),(D)
2012,5,NAICS CLASSIFICATION: (111421),15507000,9.1
2012,5,NAICS CLASSIFICATION: (111422), (D),(D)
2012,5,NAICS CLASSIFICATION: (1119),417462000,14.7
2012,5,NAICS CLASSIFICATION: (11192),376804000,16.6
2012,5,NAICS CLASSIFICATION: (11194),36419000,10.2
2012,5,NAICS CLASSIFICATION: (11199),4239000,(H)
2012,5,NAICS CLASSIFICATION: (112),35735000,11
2012,5,NAICS CLASSIFICATION: (1121),21087000,18.4
2012,5,NAICS CLASSIFICATION: (11211),20688000,18.8
2012,5,NAICS CLASSIFICATION: (112111), (D),(D)
2012,5,NAICS CLASSIFICATION: (112112), (D),(D)
2012,5,NAICS CLASSIFICATION: (11212),399000,3
2012,5,NAICS CLASSIFICATION: (1122),204000,5.1
2012,5,NAICS CLASSIFICATION: (1123),13149000,5.8
2012,5,NAICS CLASSIFICATION: (11231),1726000,22.2
2012,5,NAICS CLASSIFICATION: (11232),10683000,7.5
2012,5,NAICS CLASSIFICATION: (11233),588000,12.7
2012,5,NAICS CLASSIFICATION: (11239),152000,45.5
2012,5,NAICS CLASSIFICATION: (1124),119000,48.5
2012,5,NAICS CLASSIFICATION: (11241),53000,44.9
